,SPX1D,SPX3D,SPX7D,SPX14D
st_louis_mistrallarge2402,0.0,0.0,0.0,0.0
st_louis_titantextpremier,0.0,0.0,0.0,0.0
national_summary_claude35sonnet,0.0,0.0,0.0,0.0
national_summary_coherecommandrplus,3.9077121412163756,24.69643056141594,53.70318834835776,60.02637236173681
national_summary_metallama370b,3.2226965810795676,-4.015519388495737,-22.750842909431146,-25.954318066369513
national_summary_mistrallarge2402,-2.737088978580053,-6.239232305400046,-12.046967665629587,-12.283087295768535
national_summary_titantextpremier,0.034679179915308216,0.06594903923399976,-0.11485149789090773,-0.29389315188080917
average_claude35sonnet,0.0,0.0,0.0,0.0
average_coherecommandrplus,0.0,0.0,0.0,0.0
average_metallama370b,0.0,0.0,0.0,0.0
average_mistrallarge2402,0.0,0.0,0.0,0.0
average_titantextpremier,0.0,0.0,0.0,0.0
